Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
137075 326340 0.89160840 0.50000000 NA         NA         NA       
137075 6310   1.00000000 0.59616000 NA         NA         NA       
137075 94025  0.50904980 0.09557640 0.02536810 0.84483340 0.0009593
137075 144193 1.00000000 0.59616000 NA         NA         NA       
137075 285464 1.00000000 0.59616000 NA         NA         NA       
137075 7157   0.72485210 0.32236290 NA         NA         NA       
137075 114569 0.89160840 0.50000000 NA         NA         NA       
137075 5339   0.72485210 0.32236290 NA         NA         NA       
137075 64222  0.80128210 0.40731980 NA         NA         NA       
137075 114294 0.43522270 0.04431050 -0.0061369 0.96224320 5.71e-05
137075 340385 0.72485210 0.32236290 NA         NA         NA       
137075 7173   0.80128210 0.40731980 NA         NA         NA       
137075 90850  0.80128210 0.40731980 NA         NA         NA       
137075 92922  0.50904980 0.09557640 0.12366940 0.33824470 0.0217148
137075 11078  1.00000000 0.59616000 NA         NA         NA       
137075 84033  0.47008550 0.06592870 0.00934950 0.94250550 0.0001314
137075 161882 0.30448720 0.00416120 0.01161690 0.92859460 0.0002034
137075 7273   1.00000000 0.59616000 NA         NA         NA       
137075 2068   1.00000000 0.59616000 NA         NA         NA       
137075 2617   0.43522270 0.04431050 -0.1012584 0.43356870 0.0165121
137075 134548 0.43522270 0.04431050 -0.1963800 0.12607430 0.0683151
137075 26018  0.55288460 0.13493970 0.14224670 0.27008070 0.0283337
137075 4985   0.80128210 0.40731980 NA         NA         NA       
137075 727897 0.34965030 0.01155090 -0.0502616 0.69805220 0.0039087
137075 4583   0.60256410 0.18544830 -0.1453404 0.25969220 0.0372106
326340 6310   1.12156860 0.68357820 NA         NA         NA       
326340 94025  0.57093430 0.14139570 -0.1908086 0.13740120 0.0616235
326340 144193 1.12156860 0.68357820 NA         NA         NA       
326340 285464 1.12156860 0.68357820 NA         NA         NA       
326340 7157   0.81297130 0.41030200 NA         NA         NA       
326340 114569 1.00000000 0.59268020 NA         NA         NA       
326340 5339   0.81297130 0.41030200 NA         NA         NA       
326340 64222  0.89869280 0.50000000 NA         NA         NA       
326340 114294 0.48813210 0.07070740 -0.0339731 0.79321640 0.0016866
326340 340385 0.81297130 0.41030200 NA         NA         NA       
326340 7173   0.89869280 0.50000000 NA         NA         NA       
326340 90850  0.89869280 0.50000000 NA         NA         NA       
326340 92922  0.57093430 0.14139570 0.09311460 0.47162970 0.0118778
326340 11078  1.12156860 0.68357820 NA         NA         NA       
326340 84033  0.52723310 0.10130380 -0.1110165 0.39033220 0.0189993
326340 161882 0.34150330 0.00798920 0.23766760 0.06287680 0.0782703
326340 7273   1.12156860 0.68357820 NA         NA         NA       
326340 2068   1.12156860 0.68357820 NA         NA         NA       
326340 2617   0.48813210 0.07070740 0.05760660 0.65651250 0.0046434
326340 134548 0.48813210 0.07070740 -0.1255528 0.33088170 0.0244317
326340 26018  0.62009800 0.19219530 0.11205010 0.38590760 0.0169888
326340 4985   0.89869280 0.50000000 NA         NA         NA       
326340 727897 0.39215690 0.02061410 0.00853940 0.94747950 0.0001044
326340 4583   0.67581700 0.25432380 -0.0651940 0.61466370 0.0064037
6310   94025  0.50904980 0.09557640 0.02536810 0.84483340 0.0009581
6310   144193 1.00000000 0.59616000 NA         NA         NA       
6310   285464 1.00000000 0.59616000 NA         NA         NA       
6310   7157   0.72485210 0.32236290 NA         NA         NA       
6310   114569 0.89160840 0.50000000 NA         NA         NA       
6310   5339   0.72485210 0.32236290 NA         NA         NA       
6310   64222  0.80128210 0.40731980 NA         NA         NA       
6310   114294 0.43522270 0.04431050 0.08898470 0.49159560 0.0115098
6310   340385 0.72485210 0.32236290 NA         NA         NA       
