Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
64072  56154  0.74608970 0.24781670 0.04068330 0.20459170 0.0069268
64072  199713 1.36932410 0.83816640 NA         NA         NA       
64072  5125   1.50782060 0.88674610 NA         NA         NA       
64072  56252  0.88051280 0.42944330 NA         NA         NA       
64072  6453   1.50782060 0.88674610 NA         NA         NA       
64072  54897  1.07254580 0.64551370 NA         NA         NA       
64072  575    1.50782060 0.88674610 NA         NA         NA       
64072  80205  1.07254580 0.64551370 NA         NA         NA       
64072  25788  1.50782060 0.88674610 NA         NA         NA       
64072  57453  1.50782060 0.88674610 NA         NA         NA       
64072  5189   1.50782060 0.88674610 NA         NA         NA       
64072  9378   1.36932410 0.83816640 NA         NA         NA       
64072  4629   1.36932410 0.83816640 NA         NA         NA       
64072  144406 1.15625250 0.71561560 NA         NA         NA       
64072  5980   1.15625250 0.71561560 NA         NA         NA       
64072  90799  1.50782060 0.88674610 NA         NA         NA       
64072  54809  1.50782060 0.88674610 NA         NA         NA       
64072  84059  0.54860390 0.04250380 0.08045520 0.01201260 0.0238789
64072  546    0.88051280 0.42944330 NA         NA         NA       
64072  2064   0.74608970 0.24781670 0.09947480 0.00188210 0.0324218
64072  23114  1.50782060 0.88674610 NA         NA         NA       
64072  1769   0.88051280 0.42944330 NA         NA         NA       
64072  9620   1.50782060 0.88674610 NA         NA         NA       
64072  7399   0.32290580 5.31e-0500 0.05191100 0.10542570 0.0117682
64072  53904  1.25391030 0.78057480 NA         NA         NA       
64072  85417  1.15625250 0.71561560 NA         NA         NA       
64072  57520  1.07254580 0.64551370 NA         NA         NA       
64072  6092   1.50782060 0.88674610 NA         NA         NA       
64072  283316 0.93652240 0.50000000 NA         NA         NA       
64072  55628  1.36932410 0.83816640 NA         NA         NA       
64072  3169   0.64673350 0.12559240 -0.0194496 0.54432950 0.0025129
64072  10985  1.36932410 0.83816640 NA         NA         NA       
64072  57475  1.50782060 0.88674610 NA         NA         NA       
64072  161436 1.07254580 0.64551370 NA         NA         NA       
64072  23266  1.50782060 0.88674610 NA         NA         NA       
64072  200576 1.50782060 0.88674610 NA         NA         NA       
64072  388015 1.15625250 0.71561560 NA         NA         NA       
64072  23046  1.15625250 0.71561560 NA         NA         NA       
64072  64411  1.50782060 0.88674610 NA         NA         NA       
64072  80003  0.74608970 0.24781670 0.15826630 7e-0700000 0.0691146
64072  4583   1.07254580 0.64551370 NA         NA         NA       
64072  8567   1.15625250 0.71561560 NA         NA         NA       
64072  22992  1.50782060 0.88674610 NA         NA         NA       
64072  80070  1.25391030 0.78057480 NA         NA         NA       
64072  6840   1.25391030 0.78057480 NA         NA         NA       
64072  24     1.36932410 0.83816640 NA         NA         NA       
64072  54768  0.59374350 0.07480690 0.08514730 0.00784250 0.025987
64072  4661   1.50782060 0.88674610 NA         NA         NA       
64072  3833   1.50782060 0.88674610 NA         NA         NA       
64072  6926   0.54860390 0.04250380 0.02966880 0.35499270 0.0040187
64072  9843   1.50782060 0.88674610 NA         NA         NA       
64072  79705  1.36932410 0.83816640 NA         NA         NA       
64072  88     1.50782060 0.88674610 NA         NA         NA       
64072  4602   1.25391030 0.78057480 NA         NA         NA       
64072  158038 1.36932410 0.83816640 NA         NA         NA       
64072  10013  1.00000000 0.57279480 NA         NA         NA       
64072  341640 0.93652240 0.50000000 NA         NA         NA       
64072  111    1.50782060 0.88674610 NA         NA         NA       
64072  1462   0.74608970 0.24781670 0.04068330 0.20459170 0.0069268
64072  9138   1.50782060 0.88674610 NA         NA         NA       
64072  28996  1.50782060 0.88674610 NA         NA         NA       
64072  7038   0.83072650 0.36303690 NA         NA         NA       
64072  130271 1.36932410 0.83816640 NA         NA         NA       
64072  8358   1.36932410 0.83816640 NA         NA         NA       
64072  32     1.50782060 0.88674610 NA         NA         NA       
64072  25942  1.50782060 0.88674610 NA         NA         NA       
64072  22981  1.36932410 0.83816640 NA         NA         NA       
64072  25831  1.36932410 0.83816640 NA         NA         NA       
64072  4628   1.15625250 0.71561560 NA         NA         NA       
64072  65217  1.07254580 0.64551370 NA         NA         NA       
64072  23095  1.50782060 0.88674610 NA         NA         NA       
64072  55749  1.36932410 0.83816640 NA         NA         NA       
64072  8029   0.70981680 0.20030920 0.09624430 0.00264000 0.0309678
64072  23230  1.00000000 0.57279480 NA         NA         NA       
64072  169044 1.15625250 0.71561560 NA         NA         NA       
64072  5310   1.50782060 0.88674610 NA         NA         NA       
64072  55755  1.50782060 0.88674610 NA         NA         NA       
64072  23036  1.15625250 0.71561560 NA         NA         NA       
64072  23335  1.50782060 0.88674610 NA         NA         NA       
64072  641    1.50782060 0.88674610 NA         NA         NA       
64072  9721   1.36932410 0.83816640 NA         NA         NA       
64072  25836  0.88051280 0.42944330 NA         NA         NA       
64072  8857   0.57030560 0.05670730 0.08274120 0.00978370 0.0249041
64072  2195   0.64673350 0.12559240 0.14527980 5.3e-06000 0.0621121
64072  54014  0.88051280 0.42944330 NA         NA         NA       
64072  1496   1.25391030 0.78057480 NA         NA         NA       
64072  5728   0.41963350 0.00296830 0.11024180 0.00056760 0.0427577
64072  23352  0.61913450 0.09752670 0.14146750 9.3e-06000 0.0600326
64072  2201   1.50782060 0.88674610 NA         NA         NA       
64072  10075  0.43243570 0.00427010 0.15791690 7e-0700000 0.0774732
64072  5139   1.36932410 0.83816640 NA         NA         NA       
64072  1303   0.88051280 0.42944330 NA         NA         NA       
64072  84629  1.00000000 0.57279480 NA         NA         NA       
64072  9736   0.64673350 0.12559240 0.09037000 0.00476490 0.028347
64072  29915  1.50782060 0.88674610 NA         NA         NA       
64072  202    1.15625250 0.71561560 NA         NA         NA       
64072  285190 1.25391030 0.78057480 NA         NA         NA       
64072  57498  1.36932410 0.83816640 NA         NA         NA       
64072  166647 1.25391030 0.78057480 NA         NA         NA       
64072  159686 1.50782060 0.88674610 NA         NA         NA       
64072  9681   1.15625250 0.71561560 NA         NA         NA       
64072  160518 1.50782060 0.88674610 NA         NA         NA       
64072  5475   1.36932410 0.83816640 NA         NA         NA       
64072  54549  1.00000000 0.57279480 NA         NA         NA       
64072  51742  1.25391030 0.78057480 NA         NA         NA       
64072  8499   1.50782060 0.88674610 NA         NA         NA       
64072  6546   1.50782060 0.88674610 NA         NA         NA       
64072  84166  1.36932410 0.83816640 NA         NA         NA       
64072  94025  0.19023190 0.00000000 0.02707400 0.39865790 0.0036343
64072  9882   1.25391030 0.78057480 NA         NA         NA       
64072  120892 1.15625250 0.71561560 NA         NA         NA       
64072  10277  1.36932410 0.83816640 NA         NA         NA       
64072  4018   1.00000000 0.57279480 NA         NA         NA       
64072  26148  1.36932410 0.83816640 NA         NA         NA       
64072  26999  1.36932410 0.83816640 NA         NA         NA       
64072  6712   1.25391030 0.78057480 NA         NA         NA       
64072  472    0.70981680 0.20030920 0.03883960 0.22587880 0.0064088
64072  54454  1.50782060 0.88674610 NA         NA         NA       
64072  84226  1.15625250 0.71561560 NA         NA         NA       
64072  26057  1.36932410 0.83816640 NA         NA         NA       
64072  2065   0.93652240 0.50000000 NA         NA         NA       
64072  5422   1.25391030 0.78057480 NA         NA         NA       
64072  65065  1.25391030 0.78057480 NA         NA         NA       
64072  57481  0.74608970 0.24781670 0.04068330 0.20459170 0.0069268
64072  2194   1.36932410 0.83816640 NA         NA         NA       
64072  3911   1.36932410 0.83816640 NA         NA         NA       
64072  23007  1.25391030 0.78057480 NA         NA         NA       
64072  8642   1.07254580 0.64551370 NA         NA         NA       
64072  7157   0.03582700 0.00000000 0.02613070 0.41529850 0.0036432
64072  10664  0.93652240 0.50000000 NA         NA         NA       
64072  4627   0.83072650 0.36303690 NA         NA         NA       
64072  654463 1.15625250 0.71561560 NA         NA         NA       
64072  27328  1.00000000 0.57279480 NA         NA         NA       
64072  4763   0.52845230 0.03151460 0.02838120 0.37627100 0.0037132
64072  999    0.12673830 0.00000000 -0.0172732 0.59028230 0.0017355
64072  7175   0.83072650 0.36303690 NA         NA         NA       
64072  23414  1.36932410 0.83816640 NA         NA         NA       
64072  2625   0.14141660 0.00000000 0.04193620 0.19098130 0.0085078
64072  9665   1.50782060 0.88674610 NA         NA         NA       
64072  9379   1.25391030 0.78057480 NA         NA         NA       
64072  10395  1.36932410 0.83816640 NA         NA         NA       
64072  1063   1.50782060 0.88674610 NA         NA         NA       
64072  9472   1.00000000 0.57279480 NA         NA         NA       
64072  50618  1.15625250 0.71561560 NA         NA         NA       
64072  56776  0.93652240 0.50000000 NA         NA         NA       
64072  8927   1.25391030 0.78057480 NA         NA         NA       
64072  1373   1.36932410 0.83816640 NA         NA         NA       
64072  4811   1.25391030 0.78057480 NA         NA         NA       
