Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
3845   401024 1.00000000 0.58658120 NA         NA         NA       
3845   7399   0.58773530 0.12319900 -0.0015840 0.98251220 7.3e-06
3845   2195   1.10601090 0.67269190 NA         NA         NA       
3845   727897 0.77283370 0.33999810 NA         NA         NA       
3845   463    1.00000000 0.58658120 NA         NA         NA       
3845   5290   0.15991340 0.00000000 0.09977960 0.16628380 0.0262468
3845   6262   0.49518610 0.04771800 0.05805570 0.42135340 0.0084422
3845   114788 0.83690630 0.41679900 NA         NA         NA       
3845   10721  0.91165760 0.50000000 NA         NA         NA       
3845   6261   1.10601090 0.67269190 NA         NA         NA       
3845   3105   0.66871580 0.21267660 -0.0735057 0.30840350 0.0299915
3845   1768   0.71730420 0.27161470 -0.0709725 0.32541830 0.0280395
3845   472    1.00000000 0.58658120 NA         NA         NA       
3845   196385 0.91165760 0.50000000 NA         NA         NA       
3845   79659  1.10601090 0.67269190 NA         NA         NA       
3845   80731  1.10601090 0.67269190 NA         NA         NA       
3845   338    0.71730420 0.27161470 -0.0709725 0.32541830 0.0280395
3845   8701   1.10601090 0.67269190 NA         NA         NA       
3845   2033   0.49518610 0.04771800 -0.0136819 0.84982290 0.0005648
3845   1756   0.52295080 0.06653350 -0.0831211 0.24921590 0.0379109
3845   26154  0.71730420 0.27161470 -0.0709725 0.32541830 0.0280395
3845   23499  1.10601090 0.67269190 NA         NA         NA       
3845   55294  0.55363820 0.09129710 0.14417540 0.04489420 0.0442966
3845   3106   1.00000000 0.58658120 NA         NA         NA       
3845   23230  0.91165760 0.50000000 NA         NA         NA       
3845   23345  0.44689950 0.02346090 0.04797890 0.50647770 0.0059294
3845   259282 1.10601090 0.67269190 NA         NA         NA       
3845   1778   1.10601090 0.67269190 NA         NA         NA       
3845   55567  0.83690630 0.41679900 NA         NA         NA       
3845   64478  0.77283370 0.33999810 NA         NA         NA       
3845   202333 0.91165760 0.50000000 NA         NA         NA       
3845   94025  0.35636220 0.00314100 0.02615380 0.71736080 0.0018642
3845   113146 0.91165760 0.50000000 NA         NA         NA       
3845   2065   1.00000000 0.58658120 NA         NA         NA       
3845   3096   1.10601090 0.67269190 NA         NA         NA       
3845   51168  1.00000000 0.58658120 NA         NA         NA       
3845   129446 0.91165760 0.50000000 NA         NA         NA       
3845   2804   0.77283370 0.33999810 NA         NA         NA       
3845   1462   0.91165760 0.50000000 NA         NA         NA       
3845   25878  1.00000000 0.58658120 NA         NA         NA       
3845   2186   1.00000000 0.58658120 NA         NA         NA       
3845   8642   0.91165760 0.50000000 NA         NA         NA       
3845   164045 1.00000000 0.58658120 NA         NA         NA       
3845   667    0.66871580 0.21267660 -0.0735057 0.30840350 0.0299915
3845   4810   0.91165760 0.50000000 NA         NA         NA       
3845   10847  0.91165760 0.50000000 NA         NA         NA       
3845   5314   1.10601090 0.67269190 NA         NA         NA       
3845   55636  0.91165760 0.50000000 NA         NA         NA       
3845   288    1.00000000 0.58658120 NA         NA         NA       
3845   23236  1.10601090 0.67269190 NA         NA         NA       
3845   89795  0.77283370 0.33999810 NA         NA         NA       
3845   7273   0.12797460 0.00000000 -0.1202306 0.09494710 0.0522087
3845   8295   0.91165760 0.50000000 NA         NA         NA       
3845   1108   1.10601090 0.67269190 NA         NA         NA       
3845   9980   1.10601090 0.67269190 NA         NA         NA       
3845   6709   1.10601090 0.67269190 NA         NA         NA       
3845   57580  1.10601090 0.67269190 NA         NA         NA       
3845   65065  0.91165760 0.50000000 NA         NA         NA       
3845   4851   1.00000000 0.58658120 NA         NA         NA       
3845   7840   1.10601090 0.67269190 NA         NA         NA       
3845   91156  0.91165760 0.50000000 NA         NA         NA       
3845   80144  0.91165760 0.50000000 NA         NA         NA       
3845   23195  0.66871580 0.21267660 0.00751760 0.91714300 0.0001589
3845   7175   1.10601090 0.67269190 NA         NA         NA       
3845   6263   1.00000000 0.58658120 NA         NA         NA       
3845   10075  0.91165760 0.50000000 NA         NA         NA       
3845   23224  0.52295080 0.06653350 -0.0098234 0.89186620 0.0002878
3845   5591   1.10601090 0.67269190 NA         NA         NA       
3845   140453 0.83690630 0.41679900 NA         NA         NA       
3845   83872  0.66871580 0.21267660 0.00751760 0.91714300 0.000159
3845   4036   0.77283370 0.33999810 NA         NA         NA       
3845   287    0.91165760 0.50000000 NA         NA         NA       
3845   10178  1.00000000 0.58658120 NA         NA         NA       
3845   22989  1.00000000 0.58658120 NA         NA         NA       
3845   4217   1.10601090 0.67269190 NA         NA         NA       
3845   1832   1.10601090 0.67269190 NA         NA         NA       
3845   84059  0.38839850 0.00729090 0.03439830 0.63396210 0.0031589
3845   2975   1.10601090 0.67269190 NA         NA         NA       
3845   120114 0.83690630 0.41679900 NA         NA         NA       
3845   4627   1.00000000 0.58658120 NA         NA         NA       
3845   53353  0.83690630 0.41679900 NA         NA         NA       
3845   5789   1.10601090 0.67269190 NA         NA         NA       
3845   8289   0.77283370 0.33999810 NA         NA         NA       
3845   54625  1.10601090 0.67269190 NA         NA         NA       
3845   577    1.00000000 0.58658120 NA         NA         NA       
3845   5728   0.71730420 0.27161470 0.09592040 0.18336940 0.0205387
3845   64324  1.10601090 0.67269190 NA         NA         NA       
3845   4780   0.91165760 0.50000000 NA         NA         NA       
3845   346007 1.00000000 0.58658120 NA         NA         NA       
3845   6476   1.00000000 0.58658120 NA         NA         NA       
3845   2312   0.52295080 0.06653350 -0.0831211 0.24921590 0.0379109
3845   25981  1.10601090 0.67269190 NA         NA         NA       
3845   27445  0.71730420 0.27161470 -0.0709725 0.32541830 0.0280395
3845   5339   0.83690630 0.41679900 NA         NA         NA       
3845   5469   1.00000000 0.58658120 NA         NA         NA       
3845   23013  1.10601090 0.67269190 NA         NA         NA       
3845   9735   1.10601090 0.67269190 NA         NA         NA       
3845   1301   1.10601090 0.67269190 NA         NA         NA       
3845   440435 1.10601090 0.67269190 NA         NA         NA       
3845   8029   1.00000000 0.58658120 NA         NA         NA       
3845   4703   0.77283370 0.33999810 NA         NA         NA       
3845   5310   1.10601090 0.67269190 NA         NA         NA       
3845   58508  0.34200110 0.00202580 -0.0402761 0.57713000 0.0052427
3845   85441  1.10601090 0.67269190 NA         NA         NA       
3845   2064   1.10601090 0.67269190 NA         NA         NA       
3845   1387   0.83690630 0.41679900 NA         NA         NA       
3845   93035  1.00000000 0.58658120 NA         NA         NA       
3845   8927   1.00000000 0.58658120 NA         NA         NA       
3845   9659   1.00000000 0.58658120 NA         NA         NA       
3845   146754 0.83690630 0.41679900 NA         NA         NA       
3845   2196   1.00000000 0.58658120 NA         NA         NA       
3845   1767   1.00000000 0.58658120 NA         NA         NA       
3845   84033  0.62584380 0.16336080 0.08167010 0.25760340 0.0155733
3845   8085   0.46994540 0.03370450 -0.0876835 0.22408380 0.0419391
3845   154664 1.00000000 0.58658120 NA         NA         NA       
3845   285190 1.10601090 0.67269190 NA         NA         NA       
3845   157680 1.10601090 0.67269190 NA         NA         NA       
3845   139378 1.00000000 0.58658120 NA         NA         NA       
3845   80070  1.00000000 0.58658120 NA         NA         NA       
401024 7399   0.58773530 0.12319900 0.15206060 0.03429410 0.0482565
401024 2195   1.10601090 0.67269190 NA         NA         NA       
401024 727897 0.77283370 0.33999810 NA         NA         NA       
401024 463    1.00000000 0.58658120 NA         NA         NA       
401024 5290   0.15991340 0.00000000 0.14979830 0.03709270 0.0574375
401024 6262   0.49518610 0.04771800 0.05805570 0.42135340 0.0084387
401024 114788 0.83690630 0.41679900 NA         NA         NA       
401024 10721  0.91165760 0.50000000 NA         NA         NA       
401024 6261   1.10601090 0.67269190 NA         NA         NA       
401024 3105   0.66871580 0.21267660 0.16956420 0.01809660 0.0572565
401024 1768   0.71730420 0.27161470 0.09592040 0.18336940 0.0205358
401024 472    1.00000000 0.58658120 NA         NA         NA       
401024 196385 0.91165760 0.50000000 NA         NA         NA       
401024 79659  1.10601090 0.67269190 NA         NA         NA       
401024 80731  1.10601090 0.67269190 NA         NA         NA       
401024 338    0.71730420 0.27161470 0.17936680 0.01233290 0.0623844
401024 8701   1.10601090 0.67269190 NA         NA         NA       
401024 2033   0.49518610 0.04771800 -0.0136819 0.84982290 0.0005646
401024 1756   0.52295080 0.06653350 0.13677200 0.05721720 0.0406493
401024 26154  0.71730420 0.27161470 0.17936680 0.01233290 0.0623857
401024 23499  1.10601090 0.67269190 NA         NA         NA       
401024 55294  0.55363820 0.09129710 0.06918870 0.33775580 0.0116052
401024 3106   1.00000000 0.58658120 NA         NA         NA       
401024 23230  0.91165760 0.50000000 NA         NA         NA       
401024 23345  0.44689950 0.02346090 0.11692630 0.10445190 0.0312922
401024 259282 1.10601090 0.67269190 NA         NA         NA       
401024 1778   1.10601090 0.67269190 NA         NA         NA       
