Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
8085   100423062 1.00000000 0.59193440 NA         NA         NA       
8085   2312   0.73202610 0.32456580 NA         NA         NA       
8085   730051 1.60740740 0.88770530 NA         NA         NA       
8085   94025  1.11680910 0.68058530 NA         NA         NA       
8085   3127   1.60740740 0.88770530 NA         NA         NA       
8085   4588   0.49382720 0.09001620 0.08533130 0.59579380 0.0077038
8085   219958 1.60740740 0.88770530 NA         NA         NA       
8085   79633  1.60740740 0.88770530 NA         NA         NA       
8085   140453 1.11680910 0.68058530 NA         NA         NA       
8085   996    1.60740740 0.88770530 NA         NA         NA       
8085   93492  1.41414140 0.83128070 NA         NA         NA       
8085   7832   1.60740740 0.88770530 NA         NA         NA       
8085   4583   1.25308640 0.76153740 NA         NA         NA       
100423062 2312   0.73202610 0.32456580 NA         NA         NA       
100423062 730051 1.60740740 0.88770530 NA         NA         NA       
100423062 94025  1.11680910 0.68058530 NA         NA         NA       
100423062 3127   1.60740740 0.88770530 NA         NA         NA       
100423062 4588   0.49382720 0.09001620 0.39402980 0.01080160 0.1680072
100423062 219958 1.60740740 0.88770530 NA         NA         NA       
100423062 79633  1.60740740 0.88770530 NA         NA         NA       
100423062 140453 1.11680910 0.68058530 NA         NA         NA       
100423062 996    1.60740740 0.88770530 NA         NA         NA       
100423062 93492  1.41414140 0.83128070 NA         NA         NA       
100423062 7832   1.60740740 0.88770530 NA         NA         NA       
100423062 4583   1.25308640 0.76153740 NA         NA         NA       
2312   730051 2.19583330 0.97043670 NA         NA         NA       
2312   94025  1.52564100 0.87424470 NA         NA         NA       
2312   3127   2.19583330 0.97043670 NA         NA         NA       
2312   4588   0.67460320 0.25337000 -0.0700557 0.66338950 0.0047936
2312   219958 2.19583330 0.97043670 NA         NA         NA       
2312   79633  2.19583330 0.97043670 NA         NA         NA       
2312   140453 1.52564100 0.87424470 NA         NA         NA       
2312   996    2.19583330 0.97043670 NA         NA         NA       
2312   93492  1.93181820 0.94886990 NA         NA         NA       
2312   7832   2.19583330 0.97043670 NA         NA         NA       
2312   4583   1.71180560 0.91735490 NA         NA         NA       
730051 94025  0.69478910 0.31178350 NA         NA         NA       
730051 3127   1.00000000 0.60121680 NA         NA         NA       
730051 4588   0.30721970 0.01101880 0.09976930 0.53484260 0.0122151
730051 219958 1.00000000 0.60121680 NA         NA         NA       
730051 79633  1.00000000 0.60121680 NA         NA         NA       
730051 140453 0.69478910 0.31178350 NA         NA         NA       
730051 996    1.00000000 0.60121680 NA         NA         NA       
730051 93492  0.87976540 0.50000000 NA         NA         NA       
730051 7832   1.00000000 0.60121680 NA         NA         NA       
730051 4583   0.77956990 0.40180010 NA         NA         NA       
94025  3127   1.43928570 0.83720180 NA         NA         NA       
94025  4588   0.44217690 0.05802550 -0.1739136 0.27683110 0.0329938
94025  219958 1.43928570 0.83720180 NA         NA         NA       
94025  79633  1.43928570 0.83720180 NA         NA         NA       
94025  140453 1.00000000 0.59363680 NA         NA         NA       
94025  996    1.43928570 0.83720180 NA         NA         NA       
94025  93492  1.26623380 0.76649690 NA         NA         NA       
94025  7832   1.43928570 0.83720180 NA         NA         NA       
94025  4583   1.12202380 0.68404480 NA         NA         NA       
3127   4588   0.30721970 0.01101880 -0.0138568 0.93147660 0.0002344
3127   219958 1.00000000 0.60121680 NA         NA         NA       
3127   79633  1.00000000 0.60121680 NA         NA         NA       
3127   140453 0.69478910 0.31178350 NA         NA         NA       
3127   996    1.00000000 0.60121680 NA         NA         NA       
3127   93492  0.87976540 0.50000000 NA         NA         NA       
3127   7832   1.00000000 0.60121680 NA         NA         NA       
3127   4583   0.77956990 0.40180010 NA         NA         NA       
4588   219958 3.25500000 0.99707670 NA         NA         NA       
4588   79633  3.25500000 0.99707670 NA         NA         NA       
4588   140453 2.26153850 0.97853520 NA         NA         NA       
4588   996    3.25500000 0.99707670 NA         NA         NA       
4588   93492  2.86363640 0.99390200 NA         NA         NA       
4588   7832   3.25500000 0.99707670 NA         NA         NA       
4588   4583   2.53750000 0.98817600 NA         NA         NA       
219958 79633  1.00000000 0.60121680 NA         NA         NA       
219958 140453 0.69478910 0.31178350 NA         NA         NA       
219958 996    1.00000000 0.60121680 NA         NA         NA       
219958 93492  0.87976540 0.50000000 NA         NA         NA       
219958 7832   1.00000000 0.60121680 NA         NA         NA       
219958 4583   0.77956990 0.40180010 NA         NA         NA       
79633  140453 0.69478910 0.31178350 NA         NA         NA       
79633  996    1.00000000 0.60121680 NA         NA         NA       
79633  93492  0.87976540 0.50000000 NA         NA         NA       
79633  7832   1.00000000 0.60121680 NA         NA         NA       
79633  4583   0.77956990 0.40180010 NA         NA         NA       
140453 996    1.43928570 0.83720180 NA         NA         NA       
140453 93492  1.26623380 0.76649690 NA         NA         NA       
140453 7832   1.43928570 0.83720180 NA         NA         NA       
140453 4583   1.12202380 0.68404480 NA         NA         NA       
996    93492  0.87976540 0.50000000 NA         NA         NA       
996    7832   1.00000000 0.60121680 NA         NA         NA       
996    4583   0.77956990 0.40180010 NA         NA         NA       
93492  7832   1.13666670 0.69323210 NA         NA         NA       
93492  4583   0.88611110 0.50000000 NA         NA         NA       
7832   4583   0.77956990 0.40180010 NA         NA         NA       
