Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
80144  1756   1.28692130 0.79312140 NA         NA         NA       
80144  5290   0.47397770 0.01799760 0.03355520 0.57401660 0.0032452
80144  6262   0.47397770 0.01799760 -0.0210202 0.72477180 0.0015328
80144  348980 1.28692130 0.79312140 NA         NA         NA       
80144  7399   0.92986370 0.50000000 NA         NA         NA       
80144  83872  0.72314620 0.23678400 -0.0612016 0.30490320 0.0231167
80144  6263   0.81434510 0.35619040 NA         NA         NA       
80144  58508  1.28692130 0.79312140 NA         NA         NA       
80144  4036   0.92986370 0.50000000 NA         NA         NA       
80144  5925   0.56164810 0.06484850 -0.0109542 0.85443090 0.0004034
80144  1016   1.28692130 0.79312140 NA         NA         NA       
80144  2312   0.42307230 0.00608590 -0.0800145 0.17951590 0.0385904
80144  338    1.00000000 0.57664100 NA         NA         NA       
80144  84059  1.00000000 0.57664100 NA         NA         NA       
80144  27445  0.53710040 0.04796700 -0.0135942 0.81988820 0.0006278
80144  3792   0.92986370 0.50000000 NA         NA         NA       
80144  5295   0.40822490 0.00415090 0.02145510 0.71931520 0.0013809
80144  388698 1.42081780 0.85154240 NA         NA         NA       
80144  7062   1.00000000 0.57664100 NA         NA         NA       
80144  80005  1.42081780 0.85154240 NA         NA         NA       
80144  5728   0.11921850 0.00000000 -0.1153021 0.05267660 0.0533034
80144  1293   1.08092650 0.65299820 NA         NA         NA       
80144  9699   1.42081780 0.85154240 NA         NA         NA       
80144  1278   1.28692130 0.79312140 NA         NA         NA       
80144  84467  1.28692130 0.79312140 NA         NA         NA       
80144  23345  1.08092650 0.65299820 NA         NA         NA       
80144  84033  0.86849440 0.42577570 NA         NA         NA       
80144  7157   0.13206320 0.00000000 -0.0708397 0.23486240 0.0181627
80144  26047  1.08092650 0.65299820 NA         NA         NA       
80144  10735  1.17534080 0.72612040 NA         NA         NA       
80144  55567  1.28692130 0.79312140 NA         NA         NA       
80144  10512  1.28692130 0.79312140 NA         NA         NA       
80144  94025  0.29048150 3.39e-0500 0.08501510 0.15374470 0.0195812
80144  1832   1.17534080 0.72612040 NA         NA         NA       
80144  113146 0.76621230 0.29286360 -0.0594568 0.31892350 0.0218591
80144  80205  1.42081780 0.85154240 NA         NA         NA       
80144  140453 0.61743830 0.11378040 0.17719660 0.00277680 0.0656735
80144  5156   1.28692130 0.79312140 NA         NA         NA       
80144  6335   1.28692130 0.79312140 NA         NA         NA       
80144  1767   1.00000000 0.57664100 NA         NA         NA       
80144  221935 1.17534080 0.72612040 NA         NA         NA       
80144  388697 1.28692130 0.79312140 NA         NA         NA       
80144  1956   0.14699090 0.00000000 -0.0986656 0.09761850 0.0399556
80144  6708   0.56164810 0.06484850 -0.0109542 0.85443090 0.0004014
80144  4763   0.45583900 0.01267730 -0.0233533 0.69566520 0.0019095
80144  8216   1.42081780 0.85154240 NA         NA         NA       
80144  146754 1.08092650 0.65299820 NA         NA         NA       
80144  2196   1.42081780 0.85154240 NA         NA         NA       
80144  5243   1.42081780 0.85154240 NA         NA         NA       
80144  126206 1.17534080 0.72612040 NA         NA         NA       
80144  7273   0.15540080 0.00000000 0.05591710 0.34863420 0.0092985
80144  200162 1.42081780 0.85154240 NA         NA         NA       
80144  546    0.86849440 0.42577570 NA         NA         NA       
80144  2559   1.28692130 0.79312140 NA         NA         NA       
80144  5314   0.92986370 0.50000000 NA         NA         NA       
80144  8857   1.42081780 0.85154240 NA         NA         NA       
80144  1769   1.17534080 0.72612040 NA         NA         NA       
80144  3417   1.00000000 0.57664100 NA         NA         NA       
80144  10060  1.28692130 0.79312140 NA         NA         NA       
80144  5649   1.08092650 0.65299820 NA         NA         NA       
80144  133558 1.28692130 0.79312140 NA         NA         NA       
1756   5290   0.36830360 0.00360720 -0.0054089 0.92781840 0.0001039
1756   6262   0.36830360 0.00360720 0.05582000 0.34947340 0.0094254
1756   348980 1.00000000 0.58577610 NA         NA         NA       
1756   7399   0.72254900 0.27387960 0.03402420 0.56867240 0.0035367
1756   83872  0.56191950 0.09416030 0.01910170 0.74900820 0.0011883
1756   6263   0.63278550 0.16629920 -0.0508388 0.39421000 0.0121548
1756   58508  1.00000000 0.58577610 NA         NA         NA       
1756   4036   0.72254900 0.27387960 -0.0475762 0.42529690 0.010667
1756   5925   0.43642770 0.01744950 0.00440570 0.94117900 6.68e-05
1756   1016   1.00000000 0.58577610 NA         NA         NA       
1756   2312   0.32874760 0.00098940 -0.0119968 0.84075200 0.0005207
1756   338    0.77704830 0.34162790 NA         NA         NA       
1756   84059  0.77704830 0.34162790 NA         NA         NA       
1756   27445  0.41735290 0.01197100 0.00182110 0.97566850 1.15e-05
1756   3792   0.72254900 0.27387960 0.03402420 0.56867240 0.0035367
1756   5295   0.31721050 0.00063070 0.04365370 0.46449360 0.0059835
1756   388698 1.10404410 0.67123800 NA         NA         NA       
1756   7062   0.77704830 0.34162790 NA         NA         NA       
1756   80005  1.10404410 0.67123800 NA         NA         NA       
1756   5728   0.09263850 0.00000000 0.02612460 0.66166650 0.0023274
1756   1293   0.83993210 0.41764650 NA         NA         NA       
1756   9699   1.10404410 0.67123800 NA         NA         NA       
1756   1278   1.00000000 0.58577610 NA         NA         NA       
1756   84467  1.00000000 0.58577610 NA         NA         NA       
1756   23345  0.83993210 0.41764650 NA         NA         NA       
1756   84033  0.67486210 0.21538190 -0.0492285 0.40937960 0.0114089
1756   7157   0.10261950 0.00000000 -0.0044472 0.94062610 6.94e-05
1756   26047  0.83993210 0.41764650 NA         NA         NA       
1756   10735  0.91329660 0.50000000 NA         NA         NA       
1756   55567  1.00000000 0.58577610 NA         NA         NA       
1756   10512  1.00000000 0.58577610 NA         NA         NA       
1756   94025  0.22571820 2.6e-06000 -0.0341927 0.56675890 0.0044428
1756   1832   0.91329660 0.50000000 NA         NA         NA       
1756   113146 0.59538400 0.12617870 0.02249980 0.70626430 0.001626
1756   80205  1.10404410 0.67123800 NA         NA         NA       
1756   140453 0.47977940 0.03570060 0.00989170 0.86841520 0.0003301
1756   5156   1.00000000 0.58577610 NA         NA         NA       
1756   6335   1.00000000 0.58577610 NA         NA         NA       
1756   1767   0.77704830 0.34162790 NA         NA         NA       
1756   221935 0.91329660 0.50000000 NA         NA         NA       
1756   388697 1.00000000 0.58577610 NA         NA         NA       
