Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
727897 2483   1.00000000 0.58905830 NA         NA         NA       
727897 94025  0.75555560 0.33330730 NA         NA         NA       
727897 4588   0.47619050 0.05350830 0.09967610 0.42586550 0.0135863
727897 113146 1.24444440 0.75789430 NA         NA         NA       
727897 7157   0.44444440 0.03617630 0.16666670 0.18105550 0.0374257
2483   94025  0.75555560 0.33330730 NA         NA         NA       
2483   4588   0.47619050 0.05350830 0.09967610 0.42586550 0.0135623
2483   113146 1.24444440 0.75789430 NA         NA         NA       
2483   7157   0.44444440 0.03617630 0.00000000 1.00000000 0.0
94025  4588   0.63025210 0.16427580 0.25051460 0.04248080 0.0744275
94025  113146 1.64705880 0.90905530 NA         NA         NA       
94025  7157   0.58823530 0.12238550 -0.0766965 0.54048290 0.0076213
4588   113146 2.61333330 0.99352390 NA         NA         NA       
4588   7157   0.93333330 0.50000000 NA         NA         NA       
113146 7157   0.35714290 0.01227920 0.41833000 0.00047340 0.2545534
