Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
779    727897 0.39437500 0.00287000 0.06966640 0.07303390 0.0178132
779    389763 1.18545450 0.73124520 NA         NA         NA       
779    2195   0.61142860 0.11171680 0.03653920 0.34753640 0.0052692
779    1213   1.18545450 0.73124520 NA         NA         NA       
779    2475   0.37000000 0.00130010 0.01643990 0.67263290 0.0012001
779    57634  1.08500000 0.65640230 NA         NA         NA       
779    116931 1.30600000 0.79964100 NA         NA         NA       
779    8925   0.80875000 0.35398630 NA         NA         NA       
779    55193  0.07608700 0.00000000 0.03467690 0.37267690 0.005446
779    6261   0.61142860 0.11171680 -0.0255774 0.51088970 0.0038369
779    1063   0.92714290 0.50000000 NA         NA         NA       
779    4036   0.64300000 0.14504820 0.03865950 0.32025780 0.0058176
779    472    0.80875000 0.35398630 NA         NA         NA       
779    4853   1.00000000 0.57826130 NA         NA         NA       
779    157680 1.00000000 0.57826130 NA         NA         NA       
779    80184  1.30600000 0.79964100 NA         NA         NA       
779    57522  1.30600000 0.79964100 NA         NA         NA       
779    730051 1.00000000 0.57826130 NA         NA         NA       
779    3107   1.30600000 0.79964100 NA         NA         NA       
779    23077  1.30600000 0.79964100 NA         NA         NA       
779    6651   1.08500000 0.65640230 NA         NA         NA       
779    23499  0.71666670 0.23391930 0.04331250 0.26542450 0.0070797
779    463    1.18545450 0.73124520 NA         NA         NA       
779    9828   1.30600000 0.79964100 NA         NA         NA       
779    131873 0.86400000 0.42447570 NA         NA         NA       
779    23345  0.45357140 0.01259920 -0.0296966 0.44523820 0.0051613
779    10260  1.18545450 0.73124520 NA         NA         NA       
779    259282 1.00000000 0.57826130 NA         NA         NA       
779    1778   1.18545450 0.73124520 NA         NA         NA       
779    7158   1.30600000 0.79964100 NA         NA         NA       
779    55567  0.92714290 0.50000000 NA         NA         NA       
779    79776  1.18545450 0.73124520 NA         NA         NA       
779    84629  1.00000000 0.57826130 NA         NA         NA       
779    375449 1.18545450 0.73124520 NA         NA         NA       
779    23223  1.30600000 0.79964100 NA         NA         NA       
779    3912   1.30600000 0.79964100 NA         NA         NA       
779    29072  0.21263160 0.00000000 -0.0045655 0.90659380 0.0001013
779    129446 0.67789470 0.18560680 -0.0242912 0.53237760 0.0034628
779    1462   0.92714290 0.50000000 NA         NA         NA       
779    1767   1.00000000 0.57826130 NA         NA         NA       
779    23312  1.08500000 0.65640230 NA         NA         NA       
779    10847  1.08500000 0.65640230 NA         NA         NA       
779    5314   0.76000000 0.29015450 0.04588310 0.23806890 0.0078074
779    55636  1.08500000 0.65640230 NA         NA         NA       
779    10721  1.18545450 0.73124520 NA         NA         NA       
779    81792  1.30600000 0.79964100 NA         NA         NA       
779    7273   0.13068180 0.00000000 0.10499200 0.00681410 0.0429242
779    55814  1.18545450 0.73124520 NA         NA         NA       
779    7057   1.30600000 0.79964100 NA         NA         NA       
779    6709   1.18545450 0.73124520 NA         NA         NA       
779    1834   0.80875000 0.35398630 NA         NA         NA       
779    79659  0.86400000 0.42447570 NA         NA         NA       
779    773    1.00000000 0.57826130 NA         NA         NA       
779    287    0.92714290 0.50000000 NA         NA         NA       
779    4233   0.67789470 0.18560680 0.04091150 0.29285750 0.006419
779    120892 1.08500000 0.65640230 NA         NA         NA       
779    29994  1.08500000 0.65640230 NA         NA         NA       
779    50509  1.30600000 0.79964100 NA         NA         NA       
779    25836  1.30600000 0.79964100 NA         NA         NA       
779    10075  0.80875000 0.35398630 NA         NA         NA       
779    23224  0.80875000 0.35398630 NA         NA         NA       
779    26986  0.86400000 0.42447570 NA         NA         NA       
779    79026  0.80875000 0.35398630 NA         NA         NA       
779    79633  0.92714290 0.50000000 NA         NA         NA       
779    10178  1.18545450 0.73124520 NA         NA         NA       
779    8314   0.49000000 0.02489750 -0.0285714 0.46267980 0.0047805
779    84059  0.58272730 0.08485960 0.03453600 0.37462240 0.004768
779    120114 1.00000000 0.57826130 NA         NA         NA       
779    775    0.76000000 0.29015450 0.04588310 0.23806890 0.0078074
779    5042   0.92714290 0.50000000 NA         NA         NA       
779    7094   1.30600000 0.79964100 NA         NA         NA       
779    546    1.18545450 0.73124520 NA         NA         NA       
779    51332  1.30600000 0.79964100 NA         NA         NA       
779    10142  0.92714290 0.50000000 NA         NA         NA       
779    84162  0.92714290 0.50000000 NA         NA         NA       
779    2324   0.92714290 0.50000000 NA         NA         NA       
779    80731  1.00000000 0.57826130 NA         NA         NA       
779    25981  0.86400000 0.42447570 NA         NA         NA       
779    7038   0.92714290 0.50000000 NA         NA         NA       
779    9969   1.00000000 0.57826130 NA         NA         NA       
779    22982  1.30600000 0.79964100 NA         NA         NA       
779    445582 1.30600000 0.79964100 NA         NA         NA       
779    1832   1.30600000 0.79964100 NA         NA         NA       
779    23013  0.76000000 0.29015450 -0.0229416 0.55540480 0.0030905
779    57448  0.61142860 0.11171680 0.03653920 0.34753640 0.0052692
779    4854   1.30600000 0.79964100 NA         NA         NA       
779    8029   0.76000000 0.29015450 -0.0229416 0.55540480 0.0030905
779    2033   1.30600000 0.79964100 NA         NA         NA       
779    23095  1.00000000 0.57826130 NA         NA         NA       
779    9687   1.18545450 0.73124520 NA         NA         NA       
779    4763   1.30600000 0.79964100 NA         NA         NA       
779    3482   1.30600000 0.79964100 NA         NA         NA       
779    9659   1.18545450 0.73124520 NA         NA         NA       
779    8239   1.30600000 0.79964100 NA         NA         NA       
779    146754 0.86400000 0.42447570 NA         NA         NA       
