Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
154664 2201   1.09348200 0.66325160 NA         NA         NA       
154664 2475   0.38301890 0.00325760 0.00965420 0.84068950 0.0003679
154664 10075  1.20566040 0.74096190 NA         NA         NA       
154664 114788 1.00000000 0.58172190 NA         NA         NA       
154664 8085   1.20566040 0.74096190 NA         NA         NA       
154664 55193  0.06589370 0.00000000 -0.0185159 0.69983260 0.0014323
154664 6261   1.09348200 0.66325160 NA         NA         NA       
154664 83872  0.69755830 0.22528280 0.11096130 0.02047930 0.0336584
154664 6263   1.20566040 0.74096190 NA         NA         NA       
154664 667    0.74292450 0.28260710 -0.0328355 0.49407580 0.0056391
154664 4036   0.92089990 0.50000000 NA         NA         NA       
154664 472    1.00000000 0.58172190 NA         NA         NA       
154664 5728   0.79433960 0.34827630 NA         NA         NA       
154664 1770   0.85309970 0.42132840 NA         NA         NA       
154664 8314   0.53259010 0.05708090 0.02526640 0.59878580 0.0023481
154664 2312   1.20566040 0.74096190 NA         NA         NA       
154664 84059  0.85309970 0.42132840 NA         NA         NA       
154664 27445  0.92089990 0.50000000 NA         NA         NA       
154664 53353  1.00000000 0.58172190 NA         NA         NA       
154664 8289   1.20566040 0.74096190 NA         NA         NA       
154664 23013  0.92089990 0.50000000 NA         NA         NA       
154664 23499  1.09348200 0.66325160 NA         NA         NA       
154664 10142  1.09348200 0.66325160 NA         NA         NA       
154664 93035  1.20566040 0.74096190 NA         NA         NA       
154664 131873 1.09348200 0.66325160 NA         NA         NA       
154664 23345  0.69755830 0.22528280 -0.0338864 0.48035000 0.0060026
154664 7428   0.02856270 0.00000000 -0.1113839 0.02000090 0.052245
154664 288    1.00000000 0.58172190 NA         NA         NA       
154664 94025  0.31446540 0.00025370 -0.0504695 0.29303870 0.0131726
154664 113146 0.74292450 0.28260710 0.11629220 0.01511840 0.0360919
154664 29072  0.25214410 5.6e-06000 0.03672110 0.44438140 0.004996
154664 129446 0.92089990 0.50000000 NA         NA         NA       
154664 4703   1.20566040 0.74096190 NA         NA         NA       
154664 58508  0.74292450 0.28260710 -0.0328355 0.49407580 0.0056391
154664 6708   1.09348200 0.66325160 NA         NA         NA       
154664 64478  1.00000000 0.58172190 NA         NA         NA       
154664 146754 1.00000000 0.58172190 NA         NA         NA       
154664 6597   1.20566040 0.74096190 NA         NA         NA       
154664 7273   0.17398700 0.00000000 0.09380510 0.05030010 0.0302027
154664 7399   0.79433960 0.34827630 NA         NA         NA       
154664 8242   0.44629900 0.01489930 0.01683720 0.72589870 0.0010851
154664 9947   1.00000000 0.58172190 NA         NA         NA       
154664 5290   1.20566040 0.74096190 NA         NA         NA       
2201   2475   0.35027450 0.00174290 -0.0437320 0.36231340 0.0097476
2201   10075  1.10258820 0.67014950 NA         NA         NA       
2201   114788 0.91450980 0.50000000 NA         NA         NA       
