Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
29072  8085   0.91055560 0.50000000 NA         NA         NA       
29072  727897 0.77000000 0.33890900 NA         NA         NA       
29072  84033  1.00000000 0.58711800 NA         NA         NA       
29072  7273   0.46333330 0.03240850 0.10728930 0.17552770 0.0245561
29072  4771   1.10733330 0.67365900 NA         NA         NA       
29072  94025  0.77000000 0.33890900 NA         NA         NA       
29072  2195   0.83487180 0.41623270 NA         NA         NA       
29072  58508  0.77000000 0.33890900 NA         NA         NA       
29072  4233   0.71377780 0.27010250 -0.0868000 0.27358010 0.036444
29072  4670   1.10733330 0.67365900 NA         NA         NA       
29072  8029   1.10733330 0.67365900 NA         NA         NA       
29072  201158 0.26400000 9.58e-0500 -0.0233550 0.76870260 0.0014587
29072  4744   1.10733330 0.67365900 NA         NA         NA       
29072  90850  1.10733330 0.67365900 NA         NA         NA       
29072  4583   0.54807020 0.08940640 0.12986370 0.10060940 0.0341763
8085   727897 0.84563760 0.41918330 NA         NA         NA       
8085   84033  1.09823060 0.66697610 NA         NA         NA       
8085   7273   0.50884690 0.05077490 0.23136350 0.00314730 0.0953498
8085   4771   1.21610740 0.74577660 NA         NA         NA       
8085   94025  0.84563760 0.41918330 NA         NA         NA       
8085   2195   0.91688180 0.50000000 NA         NA         NA       
8085   58508  0.84563760 0.41918330 NA         NA         NA       
8085   4233   0.78389260 0.34413930 NA         NA         NA       
8085   4670   1.21610740 0.74577660 NA         NA         NA       
8085   8029   1.21610740 0.74577660 NA         NA         NA       
8085   201158 0.28993290 0.00021040 0.13710640 0.08285960 0.0396835
8085   4744   1.21610740 0.74577660 NA         NA         NA       
8085   90850  1.21610740 0.74577660 NA         NA         NA       
8085   4583   0.60190750 0.12836070 0.04279800 0.58984470 0.0040572
727897 84033  1.29870130 0.79732790 NA         NA         NA       
727897 7273   0.60173160 0.10766510 0.06975840 0.37923320 0.0095133
727897 4771   1.43809520 0.85568420 NA         NA         NA       
727897 94025  1.00000000 0.57819450 NA         NA         NA       
727897 2195   1.08424910 0.65586070 NA         NA         NA       
727897 58508  1.00000000 0.57819450 NA         NA         NA       
727897 4233   0.92698410 0.50000000 NA         NA         NA       
727897 4670   1.43809520 0.85568420 NA         NA         NA       
727897 8029   1.43809520 0.85568420 NA         NA         NA       
727897 201158 0.34285710 0.00085060 -0.0557657 0.48229180 0.0074607
727897 4744   1.43809520 0.85568420 NA         NA         NA       
727897 90850  1.43809520 0.85568420 NA         NA         NA       
727897 4583   0.71177940 0.23140550 0.16041620 0.04207510 0.0441287
84033  7273   0.46333330 0.03240850 0.03561470 0.65377720 0.0030337
84033  4771   1.10733330 0.67365900 NA         NA         NA       
84033  94025  0.77000000 0.33890900 NA         NA         NA       
84033  2195   0.83487180 0.41623270 NA         NA         NA       
84033  58508  0.77000000 0.33890900 NA         NA         NA       
84033  4233   0.71377780 0.27010250 -0.0021042 0.97886500 1.15e-05
