Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
154664 727897 1.09308660 0.66293570 NA         NA         NA       
154664 389763 1.20479040 0.74055170 NA         NA         NA       
154664 2334   1.20479040 0.74055170 NA         NA         NA       
154664 6262   0.48802400 0.03028820 0.02678630 0.54496280 0.0027857
154664 114788 0.79520960 0.34862460 NA         NA         NA       
154664 83481  1.00000000 0.58154910 NA         NA         NA       
154664 176    1.20479040 0.74055170 NA         NA         NA       
154664 32     1.20479040 0.74055170 NA         NA         NA       
154664 7179   1.20479040 0.74055170 NA         NA         NA       
154664 23152  0.08982040 0.00000000 -0.0166500 0.70675260 0.0012454
154664 4036   0.69883760 0.22587020 0.04339940 0.32657340 0.006665
154664 8450   1.20479040 0.74055170 NA         NA         NA       
154664 2312   0.39975220 0.00496860 0.01796190 0.68483890 0.0013084
154664 338    0.74401200 0.28309430 0.04642560 0.29394010 0.0074901
154664 196528 1.09308660 0.66293570 NA         NA         NA       
154664 442444 0.65868260 0.17720820 0.04057960 0.35901460 0.0059244
154664 27445  0.79520960 0.34862460 NA         NA         NA       
154664 5295   0.53456720 0.05763030 0.03089850 0.48499220 0.0036268
154664 8085   1.09308660 0.66293570 NA         NA         NA       
154664 80005  1.20479040 0.74055170 NA         NA         NA       
154664 6938   0.79520960 0.34862460 NA         NA         NA       
154664 57716  1.20479040 0.74055170 NA         NA         NA       
154664 8859   1.20479040 0.74055170 NA         NA         NA       
154664 5290   0.25530760 6.2e-06000 -0.0013467 0.97572610 8e-06
154664 23345  1.00000000 0.58154910 NA         NA         NA       
154664 347365 1.20479040 0.74055170 NA         NA         NA       
154664 4763   0.34839410 0.00098340 0.06455850 0.14424210 0.0147554
154664 8880   0.23748250 1.4e-06000 -0.0044445 0.92001110 8.75e-05
154664 94025  0.26860560 1.65e-0500 0.00082530 0.98512320 3e-06
154664 113146 1.09308660 0.66293570 NA         NA         NA       
154664 51168  1.09308660 0.66293570 NA         NA         NA       
154664 5156   1.20479040 0.74055170 NA         NA         NA       
154664 25878  1.09308660 0.66293570 NA         NA         NA       
154664 3418   0.59041920 0.10403630 -0.0311719 0.48113580 0.0052674
154664 4620   0.79520960 0.34862460 NA         NA         NA       
154664 667    1.09308660 0.66293570 NA         NA         NA       
154664 26137  0.56116340 0.07796810 0.09820630 0.02612980 0.0294227
154664 5903   1.20479040 0.74055170 NA         NA         NA       
154664 4626   0.85372110 0.42150910 NA         NA         NA       
154664 3339   1.00000000 0.58154910 NA         NA         NA       
154664 7273   0.15412650 0.00000000 0.12798950 0.00368690 0.0568426
154664 6101   1.09308660 0.66293570 NA         NA         NA       
154664 29072  1.20479040 0.74055170 NA         NA         NA       
154664 5314   0.92123450 0.50000000 NA         NA         NA       
154664 84033  0.74401200 0.28309430 0.12061970 0.00623220 0.0398847
154664 23742  0.92123450 0.50000000 NA         NA         NA       
154664 3417   0.00692080 0.00000000 -0.0095851 0.82854080 0.0003954
154664 7840   1.20479040 0.74055170 NA         NA         NA       
154664 1956   0.32711720 0.00041640 0.00927310 0.83403960 0.0003623
154664 80144  1.00000000 0.58154910 NA         NA         NA       
154664 56171  1.20479040 0.74055170 NA         NA         NA       
154664 25836  0.65868260 0.17720820 0.11067170 0.01213290 0.0351957
154664 2318   1.20479040 0.74055170 NA         NA         NA       
154664 7399   1.09308660 0.66293570 NA         NA         NA       
154664 79633  1.20479040 0.74055170 NA         NA         NA       
154664 83872  0.65868260 0.17720820 0.11067170 0.01213290 0.035196
154664 1769   1.20479040 0.74055170 NA         NA         NA       
154664 1770   1.00000000 0.58154910 NA         NA         NA       
154664 84059  1.00000000 0.58154910 NA         NA         NA       
154664 286234 1.20479040 0.74055170 NA         NA         NA       
154664 3909   1.09308660 0.66293570 NA         NA         NA       
154664 8289   0.59041920 0.10403630 0.03545800 0.42290020 0.0046578
154664 546    0.03906030 0.00000000 0.06479130 0.14279760 0.01782
154664 5728   0.48802400 0.03028820 0.02678630 0.54496280 0.0027857
154664 23036  0.85372110 0.42150910 NA         NA         NA       
154664 1293   1.00000000 0.58154910 NA         NA         NA       
154664 4622   0.79520960 0.34862460 NA         NA         NA       
154664 4851   0.26860560 1.65e-0500 0.04786590 0.27920200 0.0086697
154664 91074  0.92123450 0.50000000 NA         NA         NA       
154664 4619   1.20479040 0.74055170 NA         NA         NA       
154664 23522  1.09308660 0.66293570 NA         NA         NA       
154664 8701   1.20479040 0.74055170 NA         NA         NA       
154664 4703   1.09308660 0.66293570 NA         NA         NA       
154664 58508  0.92123450 0.50000000 NA         NA         NA       
154664 55190  1.09308660 0.66293570 NA         NA         NA       
154664 7157   0.02559400 0.00000000 0.03093980 0.48440950 0.0041768
154664 6098   1.09308660 0.66293570 NA         NA         NA       
154664 146754 1.20479040 0.74055170 NA         NA         NA       
154664 2196   0.92123450 0.50000000 NA         NA         NA       
154664 1767   1.00000000 0.58154910 NA         NA         NA       
154664 8735   1.20479040 0.74055170 NA         NA         NA       
154664 6597   0.44864120 0.01517680 0.08183470 0.06401120 0.0220048
154664 53353  1.00000000 0.58154910 NA         NA         NA       
154664 140453 0.43113770 0.01056720 0.13679390 0.00190040 0.0543925
154664 4035   0.92123450 0.50000000 NA         NA         NA       
154664 57526  1.20479040 0.74055170 NA         NA         NA       
154664 54880  0.79520960 0.34862460 NA         NA         NA       
154664 388697 1.20479040 0.74055170 NA         NA         NA       
154664 1788   1.20479040 0.74055170 NA         NA         NA       
727897 389763 1.10219120 0.66985090 NA         NA         NA       
727897 2334   1.10219120 0.66985090 NA         NA         NA       
727897 6262   0.44646410 0.01879290 0.03093080 0.48453610 0.0037109
727897 114788 0.72749000 0.27603120 0.13405860 0.00234470 0.0482958
727897 83481  0.91484060 0.50000000 NA         NA         NA       
727897 176    1.10219120 0.66985090 NA         NA         NA       
727897 32     1.10219120 0.66985090 NA         NA         NA       
727897 7179   1.10219120 0.66985090 NA         NA         NA       
727897 23152  0.08217130 0.00000000 0.08860260 0.04487170 0.0309235
727897 4036   0.63932510 0.16910290 0.04777540 0.28011290 0.0080856
727897 8450   1.10219120 0.66985090 NA         NA         NA       
727897 2312   0.36570960 0.00272920 0.08030630 0.06915640 0.0220026
727897 338    0.68065240 0.21795640 0.05085620 0.25022590 0.009001
727897 196528 1.00000000 0.58501000 NA         NA         NA       
727897 442444 0.60258960 0.12903200 0.11804380 0.00744010 0.0402771
727897 27445  0.72749000 0.27603120 0.05418400 0.22052010 0.0100205
727897 5295   0.48904380 0.03765790 0.03508880 0.42774850 0.0046752
727897 8085   1.00000000 0.58501000 NA         NA         NA       
727897 80005  1.10219120 0.66985090 NA         NA         NA       
727897 6938   0.72749000 0.27603120 -0.0256907 0.56153880 0.0035302
727897 57716  1.10219120 0.66985090 NA         NA         NA       
727897 8859   1.10219120 0.66985090 NA         NA         NA       
727897 5290   0.23356570 2.5e-06000 0.05077360 0.25099620 0.0098725
727897 23345  0.91484060 0.50000000 NA         NA         NA       
727897 347365 1.10219120 0.66985090 NA         NA         NA       
727897 4763   0.31872510 0.00049370 0.07089050 0.10877250 0.0178214
727897 8880   0.21725860 5e-0700000 -0.0003637 0.99344300 NA        
727897 94025  0.24573140 6.9e-06000 0.05396300 0.22241100 0.0110235
727897 113146 1.00000000 0.58501000 NA         NA         NA       
727897 51168  1.00000000 0.58501000 NA         NA         NA       
727897 5156   1.10219120 0.66985090 NA         NA         NA       
727897 25878  1.00000000 0.58501000 NA         NA         NA       
727897 3418   0.54013940 0.07171120 0.03970830 0.36943470 0.005842
727897 4620   0.72749000 0.27603120 0.05418400 0.22052010 0.0100205
727897 667    1.00000000 0.58501000 NA         NA         NA       
727897 26137  0.51337510 0.05231620 0.03733440 0.39876100 0.0052305
727897 5903   1.10219120 0.66985090 NA         NA         NA       
727897 4626   0.78101880 0.34317480 NA         NA         NA       
727897 3339   0.91484060 0.50000000 NA         NA         NA       
727897 7273   0.14100120 0.00000000 0.05996950 0.17503980 0.0140509
727897 6101   1.00000000 0.58501000 NA         NA         NA       
727897 29072  1.10219120 0.66985090 NA         NA         NA       
727897 5314   0.84278270 0.41845090 NA         NA         NA       
727897 84033  0.68065240 0.21795640 0.05085620 0.25022590 0.009001
727897 23742  0.84278270 0.41845090 NA         NA         NA       
727897 3417   0.00633150 0.00000000 -0.0495035 0.26306280 0.0101309
727897 7840   1.10219120 0.66985090 NA         NA         NA       
727897 1956   0.29926010 0.00020030 0.06669020 0.13142800 0.0160387
727897 80144  0.91484060 0.50000000 NA         NA         NA       
727897 56171  1.10219120 0.66985090 NA         NA         NA       
727897 25836  0.60258960 0.12903200 0.19117970 1.3e-05000 0.090308
727897 2318   1.10219120 0.66985090 NA         NA         NA       
727897 7399   1.00000000 0.58501000 NA         NA         NA       
727897 79633  1.10219120 0.66985090 NA         NA         NA       
727897 83872  0.60258960 0.12903200 0.11804380 0.00744010 0.0402771
727897 1769   1.10219120 0.66985090 NA         NA         NA       
727897 1770   0.91484060 0.50000000 NA         NA         NA       
727897 84059  0.91484060 0.50000000 NA         NA         NA       
727897 286234 1.10219120 0.66985090 NA         NA         NA       
727897 3909   1.00000000 0.58501000 NA         NA         NA       
727897 8289   0.54013940 0.07171120 0.03970830 0.36943470 0.005842
727897 546    0.03573400 0.00000000 -0.0604715 0.17144950 0.0167925
727897 5728   0.44646410 0.01879290 0.03093080 0.48453610 0.0037109
727897 23036  0.78101880 0.34317480 NA         NA         NA       
727897 1293   0.91484060 0.50000000 NA         NA         NA       
727897 4622   0.72749000 0.27603120 0.05418400 0.22052010 0.0100205
727897 4851   0.24573140 6.9e-06000 0.10304630 0.01957100 0.0362301
727897 91074  0.84278270 0.41845090 NA         NA         NA       
727897 4619   1.10219120 0.66985090 NA         NA         NA       
