Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
80144  154664 0.49579830 0.04786790 0.13127840 0.06525000 0.0383363
80144  7399   0.58823530 0.12339230 0.15339300 0.03096290 0.0493499
80144  1768   0.91176470 0.50000000 NA         NA         NA       
80144  131873 0.91176470 0.50000000 NA         NA         NA       
80144  1756   0.71764710 0.27176220 -0.0694377 0.33101910 0.0272563
80144  2201   0.77310920 0.34010420 NA         NA         NA       
80144  9757   1.10588240 0.67259740 NA         NA         NA       
80144  6262   0.44757030 0.02356690 0.04969770 0.48686090 0.0063987
80144  84125  1.10588240 0.67259740 NA         NA         NA       
80144  8085   1.00000000 0.58652880 NA         NA         NA       
80144  83872  0.83710410 0.41685420 NA         NA         NA       
80144  6263   0.91176470 0.50000000 NA         NA         NA       
80144  58508  0.77310920 0.34010420 NA         NA         NA       
80144  341640 0.91176470 0.50000000 NA         NA         NA       
80144  4036   1.00000000 0.58652880 NA         NA         NA       
80144  1770   0.83710410 0.41685420 NA         NA         NA       
80144  5925   0.71764710 0.27176220 0.01388750 0.84602930 0.0005359
80144  8314   1.00000000 0.58652880 NA         NA         NA       
80144  2312   0.83710410 0.41685420 NA         NA         NA       
80144  338    0.40705880 0.01097300 0.04056720 0.57040800 0.0043721
80144  84059  0.66911760 0.21285260 0.17079040 0.01614060 0.058357
80144  26960  1.00000000 0.58652880 NA         NA         NA       
80144  120114 0.66911760 0.21285260 0.08988970 0.20788500 0.0185622
80144  54798  1.00000000 0.58652880 NA         NA         NA       
80144  53353  0.55417960 0.09148240 0.22041850 0.00180610 0.0944186
80144  4035   0.91176470 0.50000000 NA         NA         NA       
80144  196385 0.91176470 0.50000000 NA         NA         NA       
80144  57578  1.00000000 0.58652880 NA         NA         NA       
80144  2200   0.91176470 0.50000000 NA         NA         NA       
80144  213    0.58823530 0.12339230 0.00000000 1.00000000 NA        
80144  8989   1.10588240 0.67259740 NA         NA         NA       
80144  1499   0.16955020 0.00000000 0.00840340 0.90646450 0.0002041
80144  4583   1.10588240 0.67259740 NA         NA         NA       
80144  23345  1.10588240 0.67259740 NA         NA         NA       
80144  54768  1.00000000 0.58652880 NA         NA         NA       
80144  10985  1.00000000 0.58652880 NA         NA         NA       
80144  25981  1.10588240 0.67259740 NA         NA         NA       
80144  93035  0.77310920 0.34010420 NA         NA         NA       
80144  94025  0.26470590 7.16e-0500 -0.0000000 1.00000000 NA        
80144  2736   1.10588240 0.67259740 NA         NA         NA       
80144  113146 0.91176470 0.50000000 NA         NA         NA       
80144  57448  0.91176470 0.50000000 NA         NA         NA       
80144  129446 0.66911760 0.21285260 -0.0719117 0.31403800 0.0291521
80144  1462   1.00000000 0.58652880 NA         NA         NA       
80144  10752  1.00000000 0.58652880 NA         NA         NA       
80144  1767   1.10588240 0.67259740 NA         NA         NA       
80144  56171  1.00000000 0.58652880 NA         NA         NA       
80144  221935 0.91176470 0.50000000 NA         NA         NA       
80144  8642   1.10588240 0.67259740 NA         NA         NA       
80144  114788 0.55417960 0.09148240 0.07070030 0.32228100 0.0121861
80144  8029   1.00000000 0.58652880 NA         NA         NA       
80144  4703   1.00000000 0.58652880 NA         NA         NA       
80144  284217 1.00000000 0.58652880 NA         NA         NA       
80144  27445  0.66911760 0.21285260 0.08988970 0.20788500 0.0185607
80144  6708   0.77310920 0.34010420 NA         NA         NA       
80144  124602 1.10588240 0.67259740 NA         NA         NA       
80144  7157   0.12903230 0.00000000 0.12149770 0.08817160 0.0398174
80144  64478  0.66911760 0.21285260 0.08988970 0.20788500 0.0185624
80144  8924   0.91176470 0.50000000 NA         NA         NA       
80144  65217  1.00000000 0.58652880 NA         NA         NA       
80144  23224  0.91176470 0.50000000 NA         NA         NA       
80144  2196   1.00000000 0.58652880 NA         NA         NA       
80144  5591   1.00000000 0.58652880 NA         NA         NA       
80144  7840   1.10588240 0.67259740 NA         NA         NA       
80144  7273   0.15294120 0.00000000 0.24339750 0.00054960 0.1495829
80144  3064   1.10588240 0.67259740 NA         NA         NA       
80144  777    0.62629760 0.16355170 0.08307410 0.24459970 0.0162173
80144  6101   1.00000000 0.58652880 NA         NA         NA       
80144  24     1.10588240 0.67259740 NA         NA         NA       
80144  79659  1.10588240 0.67259740 NA         NA         NA       
80144  84033  0.58823530 0.12339230 0.00000000 1.00000000 NA        
80144  1769   1.00000000 0.58652880 NA         NA         NA       
80144  5783   1.00000000 0.58652880 NA         NA         NA       
80144  8289   0.62629760 0.16355170 0.00437230 0.95125190 5.5e-05
154664 7399   1.18644070 0.74981330 NA         NA         NA       
154664 1768   1.83898310 0.96616750 NA         NA         NA       
154664 131873 1.83898310 0.96616750 NA         NA         NA       
154664 1756   1.44745760 0.88965450 NA         NA         NA       
154664 2201   1.55932200 0.92205640 NA         NA         NA       
154664 9757   2.23050850 0.98829420 NA         NA         NA       
154664 6262   0.90272660 0.43657530 NA         NA         NA       
154664 84125  2.23050850 0.98829420 NA         NA         NA       
154664 8085   2.01694920 0.97945240 NA         NA         NA       
154664 83872  1.68839630 0.94734730 NA         NA         NA       
154664 6263   1.83898310 0.96616750 NA         NA         NA       
154664 58508  1.55932200 0.92205640 NA         NA         NA       
154664 341640 1.83898310 0.96616750 NA         NA         NA       
154664 4036   2.01694920 0.97945240 NA         NA         NA       
154664 1770   1.68839630 0.94734730 NA         NA         NA       
154664 5925   1.44745760 0.88965450 NA         NA         NA       
154664 8314   2.01694920 0.97945240 NA         NA         NA       
154664 2312   1.68839630 0.94734730 NA         NA         NA       
154664 338    0.82101690 0.31919490 NA         NA         NA       
154664 84059  1.34957630 0.84990830 NA         NA         NA       
154664 26960  2.01694920 0.97945240 NA         NA         NA       
154664 120114 1.34957630 0.84990830 NA         NA         NA       
154664 54798  2.01694920 0.97945240 NA         NA         NA       
154664 53353  1.11775200 0.69132620 NA         NA         NA       
154664 4035   1.83898310 0.96616750 NA         NA         NA       
154664 196385 1.83898310 0.96616750 NA         NA         NA       
154664 57578  2.01694920 0.97945240 NA         NA         NA       
154664 2200   1.83898310 0.96616750 NA         NA         NA       
154664 213    1.18644070 0.74981330 NA         NA         NA       
154664 8989   2.23050850 0.98829420 NA         NA         NA       
154664 1499   0.34197410 6.67e-0500 0.05967200 0.40366850 0.0065739
