Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
120892 23195  1.08573010 0.65701920 NA         NA         NA       
120892 672    0.71423300 0.23276930 -0.0340318 0.46411130 0.006264
120892 50509  1.30862830 0.80053820 NA         NA         NA       
120892 5803   1.18704750 0.73205640 NA         NA         NA       
120892 10075  1.18704750 0.73205640 NA         NA         NA       
120892 6262   0.60809100 0.11041120 0.02593940 0.57688470 0.0024777
120892 23224  0.92651710 0.50000000 NA         NA         NA       
120892 114788 0.44887800 0.01211280 0.12159010 0.00867410 0.0425645
120892 7399   0.44887800 0.01211280 0.01191130 0.79781780 0.0005608
120892 6261   1.18704750 0.73205640 NA         NA         NA       
120892 4619   0.86283190 0.42412670 NA         NA         NA       
120892 4036   0.92651710 0.50000000 NA         NA         NA       
120892 10178  0.86283190 0.42412670 NA         NA         NA       
120892 129684 1.18704750 0.73205640 NA         NA         NA       
120892 57451  1.08573010 0.65701920 NA         NA         NA       
120892 6710   1.00000000 0.57859640 NA         NA         NA       
120892 58508  1.08573010 0.65701920 NA         NA         NA       
120892 5925   0.86283190 0.42412670 NA         NA         NA       
120892 5649   1.30862830 0.80053820 NA         NA         NA       
120892 2312   0.80710730 0.35331170 NA         NA         NA       
120892 338    1.00000000 0.57859640 NA         NA         NA       
120892 8701   1.30862830 0.80053820 NA         NA         NA       
120892 120114 0.63993360 0.14372540 0.02834770 0.54201860 0.0029203
120892 1387   1.18704750 0.73205640 NA         NA         NA       
120892 3909   1.18704750 0.73205640 NA         NA         NA       
120892 4035   1.08573010 0.65701920 NA         NA         NA       
120892 324    1.30862830 0.80053820 NA         NA         NA       
120892 55576  1.18704750 0.73205640 NA         NA         NA       
120892 23499  1.00000000 0.57859640 NA         NA         NA       
120892 1293   0.92651710 0.50000000 NA         NA         NA       
120892 259232 1.30862830 0.80053820 NA         NA         NA       
120892 23345  0.86283190 0.42412670 NA         NA         NA       
120892 6476   1.30862830 0.80053820 NA         NA         NA       
120892 25836  1.30862830 0.80053820 NA         NA         NA       
120892 54768  0.71423300 0.23276930 0.03359550 0.46986250 0.0039816
120892 3908   1.08573010 0.65701920 NA         NA         NA       
120892 1778   1.08573010 0.65701920 NA         NA         NA       
120892 26047  1.08573010 0.65701920 NA         NA         NA       
120892 7038   0.92651710 0.50000000 NA         NA         NA       
120892 93035  1.18704750 0.73205640 NA         NA         NA       
