Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
3845   2312   54.7123746 0.99999990 NA         NA         NA       
3845   94025  43.4510870 0.99999990 NA         NA         NA       
3845   6263   72.7304348 0.99999990 NA         NA         NA       
3845   6262   72.7304348 0.99999990 NA         NA         NA       
3845   84624  50.4223602 0.99999990 NA         NA         NA       
3845   83732  8.84822130 0.99999990 NA         NA         NA       
3845   114784 72.7304348 0.99999990 NA         NA         NA       
3845   5936   7.24544180 0.99999990 NA         NA         NA       
3845   5989   27.1847826 0.99999990 NA         NA         NA       
3845   23387  54.7123746 0.99999990 NA         NA         NA       
3845   79633  72.7304348 0.99999990 NA         NA         NA       
3845   8202   50.4223602 0.99999990 NA         NA         NA       
3845   6261   59.7173913 0.99999990 NA         NA         NA       
3845   8471   43.4510870 0.99999990 NA         NA         NA       
3845   165    24.6822742 0.99999990 NA         NA         NA       
3845   713    16.9602484 0.99999990 NA         NA         NA       
3845   6708   72.7304348 0.99999990 NA         NA         NA       
3845   54502  25.8834783 0.99999990 NA         NA         NA       
3845   11178  72.7304348 0.99999990 NA         NA         NA       
3845   7157   2.46000000 0.99956740 NA         NA         NA       
3845   120114 65.6324111 0.99999990 NA         NA         NA       
3845   4089   19.0516304 0.99999990 NA         NA         NA       
3845   2196   72.7304348 0.99999990 NA         NA         NA       
3845   53353  59.7173913 0.99999990 NA         NA         NA       
3845   1029   20.6782609 0.99999990 NA         NA         NA       
3845   84033  65.6324111 0.99999990 NA         NA         NA       
3845   7301   50.4223602 0.99999990 NA         NA         NA       
3845   8085   21.5757121 0.99999990 NA         NA         NA       
3845   353139 11.6257089 0.99999990 NA         NA         NA       
3845   83637  59.7173913 0.99999990 NA         NA         NA       
3845   8857   59.7173913 0.99999990 NA         NA         NA       
3845   57477  65.6324111 0.99999990 NA         NA         NA       
3845   2830   59.7173913 0.99999990 NA         NA         NA       
3845   375248 27.1847826 0.99999990 NA         NA         NA       
3845   133746 8.84822130 0.99999990 NA         NA         NA       
3845   7273   15.1990847 0.99999990 NA         NA         NA       
2312   94025  0.79417290 0.34808140 NA         NA         NA       
2312   6263   1.32932330 0.80734200 NA         NA         NA       
