Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
79026  83872  1.00000000 0.58945920 NA         NA         NA       
79026  113146 0.82814120 0.41447390 NA         NA         NA       
79026  7273   0.24753730 2.75e-0500 0.16144380 0.00322490 0.0735405
79026  8085   0.90625890 0.50000000 NA         NA         NA       
79026  8405   0.24753730 2.75e-0500 -0.0065999 0.90478280 0.0001668
79026  94025  0.48442370 0.04555450 0.17747020 0.00118550 0.0770993
79026  7157   0.41717460 0.01533590 0.09059240 0.09990080 0.0241748
79026  6708   0.65628250 0.20766440 0.21611550 7.37e-0500 0.1012034
79026  53353  0.82814120 0.41447390 NA         NA         NA       
79026  114788 0.82814120 0.41447390 NA         NA         NA       
79026  140453 0.57540770 0.11897030 0.11885660 0.03062630 0.0374441
79026  472    0.76204170 0.33607500 NA         NA         NA       
79026  6101   1.00000000 0.58945920 NA         NA         NA       
79026  58508  0.76204170 0.33607500 NA         NA         NA       
79026  120114 1.00000000 0.58945920 NA         NA         NA       
79026  3169   0.76204170 0.33607500 NA         NA         NA       
83872  113146 0.82814120 0.41447390 NA         NA         NA       
83872  7273   0.24753730 2.75e-0500 -0.0626145 0.25596670 0.018213
83872  8085   0.90625890 0.50000000 NA         NA         NA       
83872  8405   0.24753730 2.75e-0500 0.16144380 0.00322490 0.0735405
83872  94025  0.48442370 0.04555450 0.10339370 0.06024350 0.0300761
83872  7157   0.41717460 0.01533590 -0.0482321 0.38173960 0.0109197
83872  6708   0.65628250 0.20766440 0.04640200 0.40008440 0.006787
83872  53353  0.82814120 0.41447390 NA         NA         NA       
83872  114788 0.82814120 0.41447390 NA         NA         NA       
83872  140453 0.57540770 0.11897030 0.11885660 0.03062630 0.0374433
83872  472    0.76204170 0.33607500 NA         NA         NA       
83872  6101   1.00000000 0.58945920 NA         NA         NA       
83872  58508  0.76204170 0.33607500 NA         NA         NA       
83872  120114 1.00000000 0.58945920 NA         NA         NA       
83872  3169   0.76204170 0.33607500 NA         NA         NA       
113146 7273   0.29890710 0.00014190 0.03378280 0.54022390 0.003833
113146 8085   1.09432890 0.66392500 NA         NA         NA       
113146 8405   0.29890710 0.00014190 0.03378280 0.54022390 0.003833
113146 94025  0.58495300 0.10200700 0.08648310 0.11631890 0.0206372
113146 7157   0.50374810 0.04054300 -0.0530010 0.33640330 0.0139046
113146 6708   0.79247650 0.34753230 NA         NA         NA       
113146 53353  1.00000000 0.58209080 NA         NA         NA       
113146 114788 1.00000000 0.58209080 NA         NA         NA       
113146 140453 0.69481840 0.22402940 -0.0451289 0.41315180 0.0101359
113146 472    0.92018330 0.50000000 NA         NA         NA       
113146 6101   1.20752350 0.74183550 NA         NA         NA       
113146 58508  0.92018330 0.50000000 NA         NA         NA       
113146 120114 1.20752350 0.74183550 NA         NA         NA       
113146 3169   0.92018330 0.50000000 NA         NA         NA       
7273   8085   3.66110080 0.99998350 NA         NA         NA       
7273   8405   1.00000000 0.54903960 NA         NA         NA       
7273   94025  1.95697280 0.99397020 NA         NA         NA       
7273   7157   1.68530020 0.97923080 NA         NA         NA       
