Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
3845   55870  11.9593220 0.99999990 NA         NA         NA       
3845   5781   11.9593220 0.99999990 NA         NA         NA       
3845   324    0.13841810 0.00000000 0.01181100 0.89726430 0.0001291
3845   120892 11.9593220 0.99999990 NA         NA         NA       
3845   5290   2.45304630 0.99979250 NA         NA         NA       
3845   6262   5.44576270 0.99999990 NA         NA         NA       
3845   114788 4.85362100 0.99999990 NA         NA         NA       
3845   7399   8.23728810 0.99999990 NA         NA         NA       
3845   79633  8.95306390 0.99999990 NA         NA         NA       
3845   6261   9.78813560 0.99999990 NA         NA         NA       
3845   83872  11.9593220 0.99999990 NA         NA         NA       
3845   577    10.7750385 0.99999990 NA         NA         NA       
3845   10178  7.07415250 0.99999990 NA         NA         NA       
3845   341640 11.9593220 0.99999990 NA         NA         NA       
3845   4036   11.9593220 0.99999990 NA         NA         NA       
3845   472    4.36016950 0.99999990 NA         NA         NA       
3845   5925   8.23728810 0.99999990 NA         NA         NA       
3845   2312   7.07415250 0.99999990 NA         NA         NA       
3845   338    8.95306390 0.99999990 NA         NA         NA       
3845   8701   7.61694920 0.99999990 NA         NA         NA       
3845   5727   8.23728810 0.99999990 NA         NA         NA       
3845   120114 10.7750385 0.99999990 NA         NA         NA       
3845   2033   11.9593220 0.99999990 NA         NA         NA       
3845   1387   11.9593220 0.99999990 NA         NA         NA       
3845   53353  7.61694920 0.99999990 NA         NA         NA       
3845   8289   10.7750385 0.99999990 NA         NA         NA       
3845   440279 10.7750385 0.99999990 NA         NA         NA       
3845   4893   10.7750385 0.99999990 NA         NA         NA       
3845   5728   2.87981510 0.99997830 NA         NA         NA       
3845   55294  3.58474580 0.99999930 NA         NA         NA       
3845   1293   10.7750385 0.99999990 NA         NA         NA       
3845   138474 8.95306390 0.99999990 NA         NA         NA       
3845   1499   5.78858160 0.99999990 NA         NA         NA       
3845   139285 11.9593220 0.99999990 NA         NA         NA       
3845   23345  4.36016950 0.99999990 NA         NA         NA       
3845   4089   4.14305080 0.99999990 NA         NA         NA       
3845   54768  8.95306390 0.99999990 NA         NA         NA       
3845   7428   6.59521440 0.99999990 NA         NA         NA       
3845   79776  9.78813560 0.99999990 NA         NA         NA       
3845   94025  5.44576270 0.99999990 NA         NA         NA       
3845   5314   11.9593220 0.99999990 NA         NA         NA       
3845   7157   0.36375490 0.00015810 -0.0373669 0.68281470 0.0013062
3845   113146 11.9593220 0.99999990 NA         NA         NA       
3845   57194  11.9593220 0.99999990 NA         NA         NA       
3845   259232 11.9593220 0.99999990 NA         NA         NA       
3845   129446 11.9593220 0.99999990 NA         NA         NA       
3845   56776  8.23728810 0.99999990 NA         NA         NA       
3845   1767   8.95306390 0.99999990 NA         NA         NA       
3845   3815   7.07415250 0.99999990 NA         NA         NA       
3845   667    10.7750385 0.99999990 NA         NA         NA       
3845   6708   10.7750385 0.99999990 NA         NA         NA       
3845   57674  9.78813560 0.99999990 NA         NA         NA       
3845   4763   6.16949150 0.99999990 NA         NA         NA       
3845   64478  7.07415250 0.99999990 NA         NA         NA       
