Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
154664 727897 0.82624110 0.41395410 NA         NA         NA       
154664 94025  0.39184400 0.00981220 0.14020690 0.02822020 0.0490608
154664 56171  0.82624110 0.41395410 NA         NA         NA       
154664 2195   0.90522240 0.50000000 NA         NA         NA       
154664 7157   0.08156030 0.00000000 0.02483370 0.69891850 0.0020286
154664 6262   0.90522240 0.50000000 NA         NA         NA       
154664 6326   0.90522240 0.50000000 NA         NA         NA       
154664 338    1.00000000 0.58995150 NA         NA         NA       
154664 1767   0.75941080 0.33507880 NA         NA         NA       
154664 6261   0.82624110 0.41395410 NA         NA         NA       
154664 4036   0.90522240 0.50000000 NA         NA         NA       
154664 79026  1.00000000 0.58995150 NA         NA         NA       
154664 5925   0.39184400 0.00981220 -0.0679791 0.28922360 0.0203355
154664 54768  1.00000000 0.58995150 NA         NA         NA       
154664 64478  0.82624110 0.41395410 NA         NA         NA       
154664 84059  0.82624110 0.41395410 NA         NA         NA       
154664 120114 0.90522240 0.50000000 NA         NA         NA       
154664 27445  0.50615900 0.06217330 0.17156610 0.00710910 0.0671987
154664 53353  0.82624110 0.41395410 NA         NA         NA       
154664 84033  0.90522240 0.50000000 NA         NA         NA       
154664 7273   0.31694790 0.00113780 0.17984120 0.00474840 0.0793021
154664 7399   0.65248230 0.20603140 0.20545300 0.00122080 0.0873978
154664 23499  0.82624110 0.41395410 NA         NA         NA       
154664 546    0.23921790 2.19e-0500 -0.0293930 0.64708250 0.0030916
154664 93035  0.90522240 0.50000000 NA         NA         NA       
154664 80309  0.90522240 0.50000000 NA         NA         NA       
154664 140453 0.75941080 0.33507880 NA         NA         NA       
154664 23345  0.90522240 0.50000000 NA         NA         NA       
154664 1769   0.75941080 0.33507880 NA         NA         NA       
154664 4763   1.00000000 0.58995150 NA         NA         NA       
727897 94025  0.47424890 0.02775920 0.17969490 0.00478310 0.0707637
727897 56171  1.00000000 0.58263720 NA         NA         NA       
727897 2195   1.09559110 0.66492120 NA         NA         NA       
727897 7157   0.09871240 0.00000000 0.11497360 0.07243410 0.0393608
727897 6262   1.09559110 0.66492120 NA         NA         NA       
727897 6326   1.09559110 0.66492120 NA         NA         NA       
727897 338    1.21030040 0.74312530 NA         NA         NA       
727897 1767   0.91911520 0.50000000 NA         NA         NA       
727897 6261   1.00000000 0.58263720 NA         NA         NA       
727897 4036   1.09559110 0.66492120 NA         NA         NA       
727897 79026  1.21030040 0.74312530 NA         NA         NA       
