Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
5339   3845   0.49174030 0.05820770 0.05697590 0.49305620 0.0074346
5339   3815   0.33969680 0.00346930 0.01637720 0.84392070 0.0006709
5339   7273   0.90245520 0.50000000 NA         NA         NA       
5339   9620   1.00000000 0.59125150 NA         NA         NA       
5339   201158 0.33969680 0.00346930 0.01637720 0.84392070 0.0006706
5339   3911   1.00000000 0.59125150 NA         NA         NA       
5339   4588   0.64233580 0.20171940 -0.0018215 0.98253090 8.6e-06
5339   4583   0.59762770 0.15220200 0.07907680 0.34106560 0.0135652
3845   3815   0.69080530 0.16558200 0.03398340 0.68281310 0.0019085
3845   7273   1.83522730 0.95923680 NA         NA         NA       
3845   9620   2.03359380 0.97553540 NA         NA         NA       
3845   201158 0.69080530 0.16558200 -0.0191608 0.81781910 0.0006478
3845   3911   2.03359380 0.97553540 NA         NA         NA       
3845   4588   1.30625000 0.81897250 NA         NA         NA       
3845   4583   1.21533200 0.76413050 NA         NA         NA       
3815   7273   2.65664910 0.99780930 NA         NA         NA       
3815   9620   2.94380170 0.99893850 NA         NA         NA       
3815   201158 1.00000000 0.56067460 NA         NA         NA       
3815   3911   2.94380170 0.99893850 NA         NA         NA       
3815   4588   1.89090910 0.97881370 NA         NA         NA       
3815   4583   1.75929750 0.96709650 NA         NA         NA       
7273   9620   1.10808820 0.67420740 NA         NA         NA       
7273   201158 0.37641400 0.00649130 -0.0640722 0.44070980 0.0115315
7273   3911   1.10808820 0.67420740 NA         NA         NA       
7273   4588   0.71176470 0.26924300 0.07495340 0.36691150 0.0115593
7273   4583   0.66222430 0.20984910 0.06663780 0.42259060 0.0093334
9620   201158 0.33969680 0.00346930 -0.0544301 0.51260860 0.0086203
9620   3911   1.00000000 0.59125150 NA         NA         NA       
9620   4588   0.64233580 0.20171940 -0.0910748 0.27260690 0.0400434
9620   4583   0.59762770 0.15220200 0.07907680 0.34106560 0.0135714
201158 3911   2.94380170 0.99893850 NA         NA         NA       
201158 4588   1.89090910 0.97881370 NA         NA         NA       
201158 4583   1.75929750 0.96709650 NA         NA         NA       
3911   4588   0.64233580 0.20171940 -0.0910748 0.27260690 0.0400434
3911   4583   0.59762770 0.15220200 0.07907680 0.34106560 0.01359
4588   4583   0.93039770 0.50000000 NA         NA         NA       
