Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
7038   94025  1.10282050 0.67032390 NA         NA         NA       
7038   673    0.01892090 0.00000000 -0.1427573 0.00417700 0.0795897
7038   7273   0.91431620 0.50000000 NA         NA         NA       
7038   3265   0.77967030 0.34264820 NA         NA         NA       
7038   4893   0.30444950 0.00029170 0.11330610 0.02325720 0.0392317
94025  673    0.01715690 0.00000000 -0.0321359 0.52108270 0.0041337
94025  7273   0.82907080 0.41472900 NA         NA         NA       
94025  3265   0.70697840 0.26750670 0.05670650 0.25725070 0.0102944
94025  4893   0.27606440 0.00013350 0.06614260 0.18622900 0.014958
673    7273   48.3229814 0.99999990 NA         NA         NA       
673    3265   41.2067436 0.99999990 NA         NA         NA       
673    4893   16.0906102 0.99999990 NA         NA         NA       
7273   3265   0.85273600 0.42122280 NA         NA         NA       
7273   4893   0.33298050 0.00059750 0.05162480 0.30242540 0.0090824
3265   4893   0.39048490 0.00211460 -0.0578915 0.24742430 0.0181058
