Gene1  Gene2  oddsratio  pvalue     pearson    p_pval     HC
2767   23451  2.81818180 0.99931200 NA         NA         NA       
2767   1964   5.72727270 0.99999930 NA         NA         NA       
2767   8314   5.72727270 0.99999930 NA         NA         NA       
2767   2776   0.81818180 0.31748950 NA         NA         NA       
23451  1964   2.03225810 0.97010250 NA         NA         NA       
23451  8314   2.03225810 0.97010250 NA         NA         NA       
23451  2776   0.29032260 0.00025000 0.23947370 0.03239980 0.0740792
1964   8314   1.00000000 0.59416030 NA         NA         NA       
1964   2776   0.14285710 2e-0700000 0.07559290 0.50513200 0.0100654
8314   2776   0.14285710 2e-0700000 -0.1511858 0.18067700 0.0408954
